Gene	T.CD8	T.follicular_helper	T.CD4	T.NK	T.other	T.plasmacytoid
CD8A	9990.737125	172.4731305	97.62577923999999	1074.9977609999999	604.32826403	100.0
CD8B	3697.963718	118.45479669999999	79.04049162000001	18.38811427	60.56753422	100.0
CD96	1718.9748510000002	473.0050907	1172.8896697999999	1878.776295	2969.16401	100.0
CDA	10.06514533	10.55001689	11.063833705	53.14356406	89.378204655	39.23468614
CDC25A	9.90420085	31.42579269	65.727043295	77.77940149	27.446758455	43.63671408
CDH12	7.907398998	9.729238862999999	10.927255506000002	18.40408878	164.00772275	55.13009759
CDHR1	32.70000097	22.14183418	53.478824695	133.301471	69.276052514	61.95043722
CDK6	65.14121709999999	24.21507209	49.22456808	158.32174630000003	46.99855736	62.87489805
CEACAM3	69.08981156	65.12057481	55.356593345	149.7442459	127.01637735	92.67151052
CEACAM8	143.82504980000002	4.767545237	30.897755866	559.0861313999999	27.566073349999996	100.0
CEMP1	9.51802003	66.92570007	26.687483778999997	36.08513123	172.870416	73.09209298
CFP	14.38688428	13.9469182	199.9771757	20.48858843	259.194228415	100.0
CHI3L1	13.16060514	9.949791058999999	11.245000215000001	202.19897269999998	18.10700114	40.573338799999995
CHI3L2	362.87791269999997	4770.057675999999	451.0455023	246.12967450000002	459.74210389999996	100.0
CHST15	37.368268799999996	41.65976896	47.11049515	32.46751810000001	210.983833225	89.66917323
CHST7	26.28908826	401.83847149999997	185.45289522	26.43166584	67.392428315	100.0
CLC	91.38509289	91.98053835	84.482097615	373.9217608	188.21943091	100.0
CLCA3P	10.28448645	4.366178616	6.480549290499999	3.026252903	18.06491875	9.538264864
CLEC10A	80.05432796	66.46616213	57.044781635	58.89456298	138.71938855000002	85.27762763
CLEC2D	1510.8503130000001	1689.599596	1618.6852085	661.8169918	1570.46337885	100.0
CLEC4A	43.67169279	67.3906821	61.32779343	52.63509122	200.884939965	98.30327613
CLEC7A	86.04241069	936.3792245999999	88.462268585	116.2611295	361.25077283	100.0
CLIC2	6.339831804	5.412216318	8.647762051	27.53712295	10.496849019999999	11.0826276
CMA1	25.22954469	29.75313496	51.78577706	55.17661369	58.74515968	47.31730955
COL8A2	60.53487072	62.18440951	68.99420623500001	78.24346341	99.39002088999999	76.81874256
COLQ	152.7740895	48.33458991	76.30337445	378.7916771	287.00636325	100.0
CPA3	147.6958112	148.1833551	130.10447104	383.131835	208.51664235	100.0
CR2	245.2703384	5000.0	164.132676955	44.83822578	23.861989235000003	100.0
CREB5	12.41011504	9.555358782	26.284892812499997	13.72778417	12.530819893	16.18924049
CRISP3	3.2354951069999998	5.210162458	6.5491092225	102.882305	341.119404645	100.0
CRTAM	1443.48038	42.15294578	348.11455910000006	457.00972790000003	438.71914841499995	100.0
CRYBB1	8.78944775	10.18494196	14.8430387425	8.687567194	9.0856458505	10.78847516
CSF1	22.99418539	24.17762134	77.92763029	23.10283156	99.426605855	60.71187294
CSF2	24.419725600000003	22.758799399999997	347.80702928	394.2963862	39.26589238	100.0
CSF3R	24.3859179	38.93185048	68.99235662	80.43850649999999	212.14246405	100.0
CST7	5181.597893	322.0620463	653.0108961999999	5000.0	3161.6156135	100.0
CTLA4	19.09265901	2019.936149	759.1301032	14.86344757	2050.215002875	100.0
CTSG	113.3980465	38.09184417	105.98132333999999	207.19653380000003	190.9219076	100.0
CTSW	1000.0	14.638242199999999	490.1252624	5000.0	2078.418872805	100.0
